id,State,Year,Quarter,District,Registered_users,App_opens
1,India,2018,1,puducherry,49318,0
2,India,2018,1,tamil nadu,2104754,0
3,India,2018,1,uttar pradesh,4694250,0
4,India,2018,1,madhya pradesh,2553603,0
5,India,2018,1,andhra pradesh,3336450,0
6,India,2018,1,tripura,55157,0
7,India,2018,1,lakshadweep,501,0
8,India,2018,1,manipur,29925,0
9,India,2018,1,maharashtra,6106994,0
10,India,2018,1,dadra & nagar haveli & daman & diu,53258,0
11,India,2018,1,meghalaya,18513,0
12,India,2018,1,andaman & nicobar islands,6740,0
13,India,2018,1,haryana,1847357,0
14,India,2018,1,rajasthan,3158202,0
15,India,2018,1,ladakh,8784,0
16,India,2018,1,punjab,847142,0
17,India,2018,1,assam,385237,0
18,India,2018,1,jharkhand,885762,0
19,India,2018,1,odisha,1594015,0
20,India,2018,1,bihar,2133804,0
21,India,2018,1,kerala,784184,0
22,India,2018,1,karnataka,3717763,0
23,India,2018,1,chandigarh,86268,0
24,India,2018,1,telangana,3315560,0
25,India,2018,1,himachal pradesh,227373,0
26,India,2018,1,west bengal,2604789,0
27,India,2018,1,gujarat,2690048,0
28,India,2018,1,sikkim,20051,0
29,India,2018,1,nagaland,15074,0
30,India,2018,1,mizoram,7593,0
31,India,2018,1,chhattisgarh,679263,0
32,India,2018,1,jammu & kashmir,176425,0
33,India,2018,1,goa,91936,0
34,India,2018,1,arunachal pradesh,21495,0
35,India,2018,1,delhi,2087022,0
36,India,2018,1,uttarakhand,483043,0
37,India,2018,2,puducherry,65580,0
38,India,2018,2,tamil nadu,2996036,0
39,India,2018,2,uttar pradesh,6442554,0
40,India,2018,2,madhya pradesh,3441662,0
41,India,2018,2,andhra pradesh,4402540,0
42,India,2018,2,tripura,83369,0
43,India,2018,2,lakshadweep,686,0
44,India,2018,2,manipur,46055,0
45,India,2018,2,maharashtra,8222371,0
46,India,2018,2,dadra & nagar haveli & daman & diu,71458,0
47,India,2018,2,meghalaya,26618,0
48,India,2018,2,andaman & nicobar islands,9405,0
49,India,2018,2,haryana,2447221,0
50,India,2018,2,rajasthan,4212964,0
51,India,2018,2,ladakh,12918,0
52,India,2018,2,punjab,1152190,0
53,India,2018,2,assam,571046,0
54,India,2018,2,jharkhand,1230599,0
55,India,2018,2,odisha,2185781,0
56,India,2018,2,bihar,3005872,0
57,India,2018,2,kerala,1066587,0
58,India,2018,2,karnataka,5030665,0
59,India,2018,2,chandigarh,115219,0
60,India,2018,2,telangana,4260115,0
61,India,2018,2,himachal pradesh,315299,0
62,India,2018,2,west bengal,3833795,0
63,India,2018,2,gujarat,3565825,0
64,India,2018,2,sikkim,28097,0
65,India,2018,2,nagaland,22436,0
66,India,2018,2,mizoram,10422,0
67,India,2018,2,chhattisgarh,950675,0
68,India,2018,2,jammu & kashmir,261609,0
69,India,2018,2,goa,122174,0
70,India,2018,2,arunachal pradesh,32883,0
71,India,2018,2,delhi,2756141,0
72,India,2018,2,uttarakhand,649142,0
73,India,2018,3,puducherry,81546,0
74,India,2018,3,tamil nadu,3900177,0
75,India,2018,3,uttar pradesh,8096483,0
76,India,2018,3,madhya pradesh,4309309,0
77,India,2018,3,andhra pradesh,5427617,0
78,India,2018,3,tripura,116874,0
79,India,2018,3,lakshadweep,918,0
80,India,2018,3,manipur,61935,0
81,India,2018,3,maharashtra,10435033,0
82,India,2018,3,dadra & nagar haveli & daman & diu,92107,0
83,India,2018,3,meghalaya,37281,0
84,India,2018,3,andaman & nicobar islands,12149,0
85,India,2018,3,haryana,3020398,0
86,India,2018,3,rajasthan,5175453,0
87,India,2018,3,ladakh,17749,0
88,India,2018,3,punjab,1473148,0
89,India,2018,3,assam,784802,0
90,India,2018,3,jharkhand,1532362,0
91,India,2018,3,odisha,2795718,0
92,India,2018,3,bihar,3784535,0
93,India,2018,3,kerala,1347598,0
94,India,2018,3,karnataka,6372649,0
95,India,2018,3,chandigarh,143893,0
96,India,2018,3,telangana,5138501,0
97,India,2018,3,himachal pradesh,407634,0
98,India,2018,3,west bengal,4851740,0
99,India,2018,3,gujarat,4433183,0
100,India,2018,3,sikkim,37637,0
101,India,2018,3,nagaland,32090,0
102,India,2018,3,mizoram,14502,0
103,India,2018,3,chhattisgarh,1217792,0
104,India,2018,3,jammu & kashmir,342529,0
105,India,2018,3,goa,153802,0
106,India,2018,3,arunachal pradesh,45922,0
107,India,2018,3,delhi,3504911,0
108,India,2018,3,uttarakhand,810612,0
109,India,2018,4,puducherry,109494,0
110,India,2018,4,tamil nadu,5199878,0
111,India,2018,4,uttar pradesh,10341964,0
112,India,2018,4,madhya pradesh,5365442,0
113,India,2018,4,andhra pradesh,6857409,0
114,India,2018,4,tripura,153265,0
115,India,2018,4,lakshadweep,1156,0
116,India,2018,4,manipur,82589,0
117,India,2018,4,maharashtra,13381602,0
118,India,2018,4,dadra & nagar haveli & daman & diu,116511,0
