id,State,Year,Quarter,Entity_type,Entity_name,Transaction_count,Transaction_amount
1,India,2020,2,State,maharashtra,39836,6879717.0
2,India,2020,2,State,karnataka,27358,4794150.0
3,India,2020,2,State,andhra pradesh,22104,3982391.0
4,India,2020,2,State,telangana,19003,3419453.0
5,India,2020,2,State,delhi,11716,1897480.0
6,India,2020,2,State,uttar pradesh,9884,1912266.0
7,India,2020,2,State,gujarat,7697,1430591.0
8,India,2020,2,State,west bengal,7619,1432764.0
9,India,2020,2,State,haryana,6321,1179814.0
10,India,2020,2,State,madhya pradesh,6283,1198701.0
11,India,2020,2,District,bengaluru urban,20040,3301769.0
12,India,2020,2,District,pune,8699,1482628.0
13,India,2020,2,District,thane,7559,1221018.0
14,India,2020,2,District,mumbai suburban,5780,884439.0
15,India,2020,2,District,hyderabad,4783,805518.0
16,India,2020,2,District,rangareddy,4495,778492.0
17,India,2020,2,District,medchal malkajgiri,4150,711890.0
18,India,2020,2,District,visakhapatnam,3504,614212.0
19,India,2020,2,District,aurangabad,2898,509460.0
20,India,2020,2,District,anantapur,2739,485777.0
21,India,2020,2,Pincode,560068,1076,168415.0
22,India,2020,2,Pincode,560037,1034,155914.0
23,India,2020,2,Pincode,110059,895,132104.0
24,India,2020,2,Pincode,560076,802,124790.0
25,India,2020,2,Pincode,500072,760,122394.0
26,India,2020,2,Pincode,560078,742,119673.0
27,India,2020,2,Pincode,421201,668,104388.0
28,India,2020,2,Pincode,560100,651,103528.0
29,India,2020,2,Pincode,431003,651,107122.0
30,India,2020,2,Pincode,110092,638,94570.0
31,India,2020,3,State,maharashtra,71662,19230156.0
32,India,2020,3,State,karnataka,53701,12407394.0
33,India,2020,3,State,andhra pradesh,49812,12426481.0
34,India,2020,3,State,telangana,34395,8406543.0
35,India,2020,3,State,uttar pradesh,18131,4436969.0
36,India,2020,3,State,rajasthan,15235,3758527.0
37,India,2020,3,State,madhya pradesh,14476,3496126.0
38,India,2020,3,State,west bengal,12596,2878482.0
39,India,2020,3,State,gujarat,12525,3335812.0
40,India,2020,3,State,odisha,10955,2640191.0
41,India,2020,3,District,bengaluru urban,32192,6940765.0
42,India,2020,3,District,pune,18176,4567561.0
43,India,2020,3,District,visakhapatnam,7906,1892376.0
44,India,2020,3,District,thane,6951,1718946.0
45,India,2020,3,District,rangareddy,6340,1509162.0
46,India,2020,3,District,hyderabad,6331,1397580.0
47,India,2020,3,District,medchal malkajgiri,5929,1415970.0
48,India,2020,3,District,nashik,5564,1418697.0
49,India,2020,3,District,spsr nellore,5509,1259159.0
50,India,2020,3,District,krishna,4519,1093882.0
51,India,2020,3,Pincode,560068,1603,340876.0
52,India,2020,3,Pincode,560076,1148,250474.0
53,India,2020,3,Pincode,560078,1124,243443.0
54,India,2020,3,Pincode,500072,1103,243812.0
55,India,2020,3,Pincode,410501,1067,278535.0
56,India,2020,3,Pincode,345021,1003,203794.0
57,India,2020,3,Pincode,535003,968,195870.0
58,India,2020,3,Pincode,431003,926,209817.0
59,India,2020,3,Pincode,560037,923,202431.0
60,India,2020,3,Pincode,560079,904,183362.0
61,India,2020,4,State,maharashtra,44798,27113814.0
