id,State,Year,Quarter,Entity_type,Entity_name,Transaction_count,Transaction_amount
1,India,2018,1,State,maharashtra,16387034,21711613257.725674
2,India,2018,1,State,uttar pradesh,12537805,13939970923.223106
3,India,2018,1,State,karnataka,12016899,19217895314.012802
4,India,2018,1,State,west bengal,11710225,10625978552.140453
5,India,2018,1,State,andhra pradesh,9039585,11996276391.823706
6,India,2018,1,State,telangana,8522766,13308204118.542435
7,India,2018,1,State,madhya pradesh,8025395,8681603403.446348
8,India,2018,1,State,rajasthan,7591690,8926293130.72684
9,India,2018,1,State,delhi,7122754,11211503806.91996
10,India,2018,1,State,tamil nadu,6726622,11261557697.516891
11,India,2018,1,District,bengaluru urban,8306513,14162750303.06484
12,India,2018,1,District,pune,3842929,5378982326.835919
13,India,2018,1,District,central delhi,2997714,4312145216.274474
14,India,2018,1,District,mumbai,2671029,3923116793.952079
15,India,2018,1,District,chennai,2656230,4281137762.522443
16,India,2018,1,District,hyderabad,2545507,4287223789.76588
17,India,2018,1,District,jaipur,2417174,2953086960.1413727
18,India,2018,1,District,birbhum,2125816,2520486412.452376
19,India,2018,1,District,kolkata,2043129,2753347660.1429114
20,India,2018,1,District,bhopal,1704495,1905473874.8326716
21,India,2018,1,Pincode,560001,2917356,4684262246.184548
22,India,2018,1,Pincode,110006,2636324,3714139312.238586
23,India,2018,1,Pincode,400008,2227885,3105208723.475169
24,India,2018,1,Pincode,600003,2010196,2997847000.265506
25,India,2018,1,Pincode,731101,1764956,2366771285.7278423
26,India,2018,1,Pincode,700009,1390629,1851145374.4001179
27,India,2018,1,Pincode,411001,1055656,1413523605.5956619
28,India,2018,1,Pincode,500012,933013,1643061976.4262943
29,India,2018,1,Pincode,462001,832846,898730606.684653
30,India,2018,1,Pincode,201301,690196,987613438.9540119
31,India,2018,2,State,maharashtra,22285740,36357057241.12254
32,India,2018,2,State,west bengal,18082446,18629183470.204285
33,India,2018,2,State,uttar pradesh,17710943,25720201695.701435
34,India,2018,2,State,karnataka,17116447,33515580081.29709
35,India,2018,2,State,andhra pradesh,12353918,22883914272.633617
36,India,2018,2,State,telangana,10764670,23017201517.652737
37,India,2018,2,State,madhya pradesh,10561412,15924081066.680984
38,India,2018,2,State,tamil nadu,9992128,20125844276.267662
39,India,2018,2,State,rajasthan,9973697,15559086175.759623
