id,State,Year,Quarter,Entity_type,Entity_name,Registered_users
1,India,2018,1,State,maharashtra,6106994
2,India,2018,1,State,uttar pradesh,4694250
3,India,2018,1,State,karnataka,3717763
4,India,2018,1,State,andhra pradesh,3336450
5,India,2018,1,State,telangana,3315560
6,India,2018,1,State,rajasthan,3158202
7,India,2018,1,State,gujarat,2690048
8,India,2018,1,State,west bengal,2604789
9,India,2018,1,State,madhya pradesh,2553603
10,India,2018,1,State,bihar,2133804
11,India,2018,1,District,bengaluru urban,1922368
12,India,2018,1,District,pune,1211643
13,India,2018,1,District,jaipur,900773
14,India,2018,1,District,mumbai suburban,719300
15,India,2018,1,District,hyderabad,655175
16,India,2018,1,District,rangareddy,635175
17,India,2018,1,District,thane,631864
18,India,2018,1,District,ahmadabad,572811
19,India,2018,1,District,medchal malkajgiri,549429
20,India,2018,1,District,visakhapatnam,497187
21,India,2018,1,Pincode,201301,114625
22,India,2018,1,Pincode,500072,105012
23,India,2018,1,Pincode,560068,98487
24,India,2018,1,Pincode,110059,95496
25,India,2018,1,Pincode,110092,83600
26,India,2018,1,Pincode,122001,82656
27,India,2018,1,Pincode,560037,75304
28,India,2018,1,Pincode,395006,72275
29,India,2018,1,Pincode,800001,71092
30,India,2018,1,Pincode,302012,68098
31,India,2018,2,State,maharashtra,8222371
32,India,2018,2,State,uttar pradesh,6442554
33,India,2018,2,State,karnataka,5030665
34,India,2018,2,State,andhra pradesh,4402540
35,India,2018,2,State,telangana,4260115
36,India,2018,2,State,rajasthan,4212964
37,India,2018,2,State,west bengal,3833795
38,India,2018,2,State,gujarat,3565825
39,India,2018,2,State,madhya pradesh,3441662
40,India,2018,2,State,bihar,3005872
41,India,2018,2,District,bengaluru urban,2553312
42,India,2018,2,District,pune,1592293
43,India,2018,2,District,jaipur,1182983
44,India,2018,2,District,mumbai suburban,957633
45,India,2018,2,District,thane,861292
46,India,2018,2,District,hyderabad,842483
47,India,2018,2,District,rangareddy,804959
48,India,2018,2,District,ahmadabad,751746
49,India,2018,2,District,medchal malkajgiri,696211
50,India,2018,2,District,surat,652372
51,India,2018,2,Pincode,201301,151073
52,India,2018,2,Pincode,500072,129543
53,India,2018,2,Pincode,560068,128921
54,India,2018,2,Pincode,110059,124901
55,India,2018,2,Pincode,110092,108175
56,India,2018,2,Pincode,122001,107275
57,India,2018,2,Pincode,800001,94711
58,India,2018,2,Pincode,395006,94500
59,India,2018,2,Pincode,560037,93771
60,India,2018,2,Pincode,302012,89071
